id	\le	\leor	\ph	\u	\voc	\voir	\key	\src	\ps	\psr	\pf	\pfr	\pff	\dt	\ge	\gf	\gr	\egr	\ege	\egf
1														14/Jan/2017						
2	-`	=							mrph	мрф				22/Jan/2011	JNT	JNT	JNT	понижение тона глагола, показатель сопряжённой конструкции	lowering of the verbal tone, a joint construction marker	l'abaissement du ton du verbe, la marque de la construction conjointe
3	-\	-\							mrph	мрф				28/Jan/2008	FCT	FCT	FCT	мена тона глагола на ассимилированный (низкопадающий), показатель фактатива	replacement of the lexical tone of the verb by assimilating falling (low-falling), a mark of the	remplacement du ton du verbe par un ton bas-tombant, une marque du
4	-\	-\							mrph	мрф				28/Jan/2008	NMLZ	NMLZ	NMLZ	замена лексического тона глагола на ассимилированный (низкопадающий) при фразовой	substitution of the lexical tone of the verb with an assimilating falling (low-falling) tone as a	substitution du ton lexical du verbe par un ton bas-tombant comme la
5	-\	-\							mrph	мрф				28/Jan/2008	GEN	GEN	GEN	мена тона существительного на ассимилированный (низкопадающий), показатель главного	replacement of the lexical tone of the noun by assimilating falling (low-falling) , a mark of the	remplacement du ton du nom par un ton bas-tombant, une marque du mot
6	ȁ	-a				V		DJ, LJ, GJ, BE, MG	pron	л.мест				14/Dec/2008	3SG.NSBJ	3SG.NSBJ	3SG.NSBJ	часто опускается, остающийся сверхнизкий тон присоединяется к предшествующему слову	is often omitted, in this case the remaining extra-low tone is added as a suffix to the preceding word	souvent omis, le ton extra-bas reste suffixé au mot précédent
7	à	=a				V		LJ, SB	prt	част				14/Dec/2008	Q	Q	Q	тон части\цы зави\сит от то\на предше\ствующей гла\сной: ни\зкий тон по\сле ни\зкого и сре\днего; па\дающий по\сле па\дающего и среднепа\дающего; сре\дний по\сле высо\кого	interrogative particle of a general question	particule interrogative générale; le ton de la particule varie en fonction du ton de la voyelle précédente: il est bas après les voyelles à tons bas et moyens; descendant après tons descendant et moyen-descendant; moyen après ton haut
8	ā	a				V		LJ, DJ, GJ, MG	pron	л.мест				19/Jul/2008	1SG.EXI	1SG.EXI	1SG.EXI			
9	á	'a				V		DJ, LJ, EF, GJ	pron	л.мест				10/Jul/2008	1SG.JNT	1SG.JNT	1SG.JNT			
10	á	'a				V		LJ	pron	л.мест				16/Jul/2008	1SG.OPT	1SG.OPT	1SG.OPT			
11	á	'a				V		LJ	itj	межд				25/Nov/2008	ouch	aïe	ой			
12	â	'a-		á + ȁ	a			LJ	pron	л.мест	<*á ȁ>	<*á ȁ>	<*á ȁ>	14/Dec/2008						
13	a	a-		ā + ȁ	a			LJ	pron	л.мест	<*ā ȁ>	<*ā ȁ>	<*ā ȁ>	14/Dec/2008				стяжённая форма: субъектное бытийное местоимение 1 л. ед.ч. + несубъектное местоимение 3	a contractive form: existential subject 1 sg. pronoun + non-subject 3 sg. pronoun	
