id_lex	\ms	\dfr	\smr	\dfe	\sme	\dff	\smf	\sn	\src	\syn	\synor	\ant	\antor
5	0	, (н)её	несубъе́ктное местоиме́ние, употребля́ется в ()у́нкции пря́мообъектного, ко́свеннообъектного, посесси́вного	, its	non-subject pronoun	, sa							
7	0	я	субъе́ктное местоиме́ние быти́йной се́рии	I	subject existential pronoun	je	pronom subjectif de la série existentielle						
8	0	я	субъе́ктное местоиме́ние сопряжённой се́рии	I	subject pronoun of the conjunctive series	je							
9	0	я	субъе́ктное местоиме́ние оптати́вной се́рии	I	subject pronoun of the optative series	je							
10		, ой	во́зглас испу́га, неприя́тного удивле́ния	ouch!		, aïe!							
11	1	, я её		, I ... it		, je la							
11	2	, я её		, I ... it		, je la							
12	0	, я её		, I ... it		, je la							
13	0	эх		ouch		, hélas!	interjection de dépit, de regret						
14	0	ца́пля		grey heron		héron cendré	(cou et front blancs; calotte noire)						
15	0			with	(meaning of instrumet)	avec	(valeur d'instrument)						
16	0	(что́бы) я	субъе́ктное местоиме́ние се́рии це́ли / предше́ствования	in order that I	subject pronoun of the purpose / antecedence series	pour que je	pronom subjectif de la série à valeur de but / d'antériorité						
17	0	нет		no		non				dh̀n dh́n	=n 'n		
18		их	местоиме́ние 3 л. мн.ч. посесси́вной се́рии	their	3 pers. pl. pronoun of the possessive series	, leurs	pronom du 3ème pers. pl. de la série possessive						
19	0	, (н)их	несубъе́ктное местоиме́ние; употребля́ется в ()у́нкции пря́мообъектного, ко́свеннообъектного, посесси́вного	, their	non-subject pronoun	, leur	pronom non-subjectif						
20	0	, на пове́рхности		, on the surface		, à la surface de							
21	0	да	(отве́т на обраще́ние, приве́тствие)	yes	(an answer to an appeal, a greeting)	oui	(réponse à une salutation)						
22	1	увели́чивать	(об одушевлённых объектах)	increase		accroître	(prendre du poids)		DJ, LJ, SB				
22	2	, расширя́ть	(доро́гу)	clear	(field, road)	, se frayer	(un chemin)		DJ, LJ				
23	1	карма́н		pocket		poche (f)			LJ				
23	2	кошелёк		purse		porte-monnaie (m)			LJ				
23	3	носо́к		sock		gant (m)			LJ				
23	4	мешо́к		bag					GJ, LJ				
24	0	друго́е де́ло				, il y a de la marge							
25	1												
25	1.1	, ремонти́ровать	(механи́зм, ору́дие)	, fix	(mechanism, tool)	réparer	(mécanisme, outil)						
25	1.2	, подгото́вить	(де́ло)	, prepare	(affair)	, apprêter	(affaire)						
25	2.1	, приоде́ться		, array oneself		, s'habiller d'une manière spéciale							
25	2.2	причёсывать(ся)				(se) coiffer							
26	0	мя́гкий, тестообра́зный и па́чкающий		soiling		mou, salissant et coagulant	(banco, boue, résidu de l'huile de palme)						
27	0	, вла́жный	о шелухе́, оста́вшейся по́сле толче́ния семя́н и смо́ченной водо́й	, muddy		, boueux	se dit de la balle des grains mouillés qui reste après le pilage						
28	0	сла́дкий бата́т		sweet potato		patate (f) douce							
29	0	на рабо́ту	(в по́ле)			au travail	(dans le champ)						
30	0	, оде́жда	(всё, что но́сят на те́ле)	, garment		, vêtement (m)	(tout ce qu'on porte sur le corps)						
31	0	, поо́даль (от)		, aside		, à côté							
32	0	мяч		ball		ballon (m)							
33	1	идти́	(я хочу́, что́бы пошёл дождь)	rain		pleuvoir			MB, DJ, LJ, GJ				
33	2	, сочи́ться		, flow		, couler	(tous les liquides: l'eau, l'huile)		LJ, DJ				
34	0	, рабо́чий	(употребля́ется в значе́нии как ед., так и мн.ч., по отноше́нию к лю́дям, кото́рые за́няты рабо́той в тече́ние да́нного дня; в значе́нии "гру́ппа" мо́жет та́кже употребля́ться фо́рма мн.ч. -	, agriculture team		, brigade (f) de travailleurs	(un groupe qui se rassemble pour travailler dans les champs de ses membres, ou un membre d'un tel groupe; pour le groupe également						
35	0	си́льно	(ре́зким и то́чным движе́нием - о си́льном уда́ре)	violently	(by a sharp and exact movement)	violemment	(d'un mouvement brusque et précis)			bɤ́ɯdhɤ̄	'böüdhö		
36	0	стручко́вый пе́рец		pepper		piment (m)							
37	0	ро́ды		childbirth		accouchement (m)							
38	0	кормя́щая мать		nursing mother		femme (f) qui allaite							
39	0	, на́мертво	(уси́ливает значе́ние глаго́ла	tightly		, solidement	(ce qui adhère sans laisser d'espace libre entre des surfaces en contact: ce que est difficile d'enlever (lianes, etc.); renforce le sens du verbe						
40	0	бы́стро	(расти́)	, quickly	(grow)	rapidement							
42	1	, ра́ньше		before		avant							
42	2	, давно́		long ago		, jadis			DJ, LJ				
42	3						marqueur exprimant l’irréalité de la situation : fréquent dans les contextes contrefactuels ; joue le rôle de conjonction dans les constructions conditionnelles irréelles						
43	0	, па́чка	(бума́г, де́нег)	, bundle	(of paper, of banknotes)	, liasse (f)	(de papier, d'argent)		DJ, LJ				
44	0	, манио́ка	(ва́рят с пе́рцем, со́лью и ма́слом)	cassava	(cook --	manioc (m)	(bouilli avec du piment, sel et huile)		GJ, LJ				
45	0	чёрная древе́сная змея́	(вид)	black tree snake		serpent (m) noir							
46	0	ди́кая манио́ка	(без клу́бней)	wild cassava	(without tuber)	manioc (m) sauvage	(manioc qui ne produit pas de tubercules)						
47	0	зелёный цвет		green colour		couleur (f) verte				blɯ́dhɛyí	'blüdhɛyi		
48	0	зелёный		green		vert				blɯ́dhɛzʌ̏, blɯ́dhɛyízʌ̏	'blüdhɛzë, 'blüdhɛyizë		
49	0	нерастолчённый кусо́к в манио́ковой муке́		not grinded piece of cassava		morceau (m) de manioc qui a échappé au pilon							
51	1	, ра́ньше		before		avant			LJ				
51	2	, давно́		long ago		, jadis			DJ, LJ				
51	3												
52	0	, племя́нница	(ребёнок ста́ршей сестры́, по отноше́нию к же́нщине и́ли к мужчи́не)	, niece	(elder sister's child, in relation to both a woman and a ()an)	, nièce (f)	(enfant de sœur aînée, par rapport à une femme ou à un homme)						
53	1	усы́	(у челове́ка)	moustache		moustache (f)	(d'homme)		GA, KD, MA				
53	2	усы́	(у живо́тного, пти́цы)	whiskers		moustaches	(d'animal, d'oiseau)		GA, KD, MA				
53	3	хобото́к	(у комара́)			palpe (m)			KD				
54	0	, коро́ткие штаны́		, trunks		, culotte (f)				gɛ̏n gɯ́ sɔ̏	-gɛn 'gü -sɔ		
55	1	рисова́ть		draw		dessiner							
55	2	писа́ть	(проце́сс)	write	(as a process)	écrire	(action d'écrire; manière, technique)		GJ				
56	1	, ве́тка	(пова́ленный ствол де́рева, очи́щенный от ве́ток, и́ли сру́бленная ве́тка без разветвле́ний и побе́гов)	, branch		, branche (f)	(tronc d'arbre abattu sans branches ou branche coupée sans tiges)						
56	2	карка́с кры́ши		timber	(roof structure)	charpente (f) traditionnelle d'un toit							
57	1	, гу́бы	(возде́рживаться от пи́щи по религио́зным и́ли каким-л ещё причи́нам, но доброво́льно)	, upper lip	(of insect)	, lèvre supérieure	(volontairement)		DJ, LJ				
57	2	клюв		beak		bec (m)			DJ, LJ	gbʌ́	'gbë		
57	3	мо́рда	(у живо́тных)	muzzle					GJ, LJ				
58	0	, нос	(соба́ки, кошки и пр.)	, snout		, groin (m)	(d’un porc, d’un sanglier)						
59	0	, порошо́к		, powder		, poudre (f)							
61	0	Абиджа́н		Abidjan		Abidjan							
62	0	опаха́ло	(воло́вий хвост, кото́рый испо́льзуется для отго́на мух, испо́льзуется та́кже фетишёрами и грио́тами)	fan		, chasse-mouches (m)	(queue de bœuf utilisée pour chasser les mouches; utilisée aussi par les féticheurs et les griots: pendant les manifestations ils jouent avec le chasse-mouches)						
63	0	си́льно	(ударить)	severely		, avec force	(frapper)			bɯ̏dhɤ̄	-büdhö		
64	0	с уси́лием	(отрыва́ть от земли́, поднима́ть с пове́рхности что-л тяжёлое)			avec force	(prendre, soulever qch lourd: bagage, pierre, etc.)						
65	0	пря́таться	(от --			se cacher	(à --		DJ, LJ				
66	1	ночь		night		, obscurité (f)	(de nuit)			gbēŋ	gbeng		
66	2.1	тень	(от прдме́та, челове́ка, и т.д.)	, shade		ombre (f)	(de l'objet)						
66	2.2	изображе́ние	(рису́нок, фотогра́фия)	draw	(picture)	image m	(dessin, photo)		DJ, LJ				
67	0	цвето́к		flower		fleur (f)							
68	0	цвести́		, blossom		fleurir							
69	0	, темнота́		darkness	(of night)	, obscurité (f)	(de nuit)		LJ				
70	0	си́льно	(боле́ть)	extremely		très fort	(avoir mal)						
71	0	, растира́ть	(превраща́ть в муку́, песто́м и́ли ка́мнем)			, broyer	(réduire en poudre à l'aide d'un pilon ou d'une pierre)						
72	0	гри́ва	(льва́)	mane	(of lion)	crinière (f)	(de lion)						
73	1	, пло́хо различи́мый				pâle	(qu'on ne voit pas clairement)		AK, LJ				
73	2					, bien tamisé	(en poudre)		BE, LJ				
73	3	, ро́вный							DJ, -LJ, -BE, -AK				
74	0	, пло́хо различи́мый				flou	(je n'arrive pas à bien distinguer la chose)						
75	0	шата́ющийся	(пло́хо устано́вленный)			mal équilibré	(maison, piquet, clôture)						
76	0	слон	(ног)	elephant		éléphant (m)	(maladie)		GA, GD				
77	0					arbre (m)	(grand; l'écorce est utilisée dans la pharmacopée traditionnelle)						
78	0	бег		run		course (f)			LJ				
79	0	бы́стро		quickly		rapidement				blábládhɤ̄	'blabladhö		
80	0	бы́стро	(быстре́е, чем	, fast		vite	(plus vite que						
81	1	мо́лния				éclair (m)				dhā yán	dha 'yan		
81	2	меч	(то́нкий, как шпа́га, обоюдоо́стрый)	sword		épée (f)							
82	1	бы́стро	о действиях, имеющих протяжённость во времени (работе и т.п.)	quickly		rapidement	(d'une action qui demande du temps - travail, etc.)			zázádhɤ̄, zózódhɤ̄	'zazadhö, 'zozodhö		
82	2		"горя́чий			très	"chaud")						
83	0	, неме́дленно	о действиях, не имеющих протяжённости во времени (совершаемых одним движением)	quickly		, tout de suite				zódhɤ̄, zádhɤ̄	'zodhö, 'zadhö		
84	0	раскра́ситься каоли́ном				se maquiller avec le kaolin			DJ, LJ				
85	0	, порва́ть				déchirer							
86	0	сухо́й сезо́н	(с ноября́ по апре́ль)	dry season		saison (f) sèche	(novembre-avril)						
87	1	зе́лень		grass		verdure (f)	(herbes, buissons)						
87	2	сор		litter									
88	0	, изорва́ть	(на мелкие кусочки - о бумаге; проделать множество дыр/прорех - об одежде)	, pierce multiple holes		, couper	(couper en plusieurs morceaux - du papier; faire beaucoup de trous - aux vêtements)						
89	1	трава́		grass		herbe (f)							
89	2	лека́рство		medicine		médicament (m)							
90	0	, проре́ха				, trou (m)							
91	0	голова́стик		tadpole		têtard (m)							
92	0	хохла́тая кры́са				rat (m) huppé							
93	0	край	(граница поля, деревни, постройки и т.п.; угол стола)	edge	(of a field, farm)	bord (m)	(la limite de champ, maison, village, etc.)						
95	0	внеза́пно	(интенсифика́тор, ука́зывает на внеза́пность включения/появления све́та, сочета́ется с глаго́лом			(éclairé) subitement	"allumer" )						
96	1.1	, говори́ть	(кому --	, say		dire	(à --		DJ, LJ				
96	1.2	расска́зывать				raconter							
96	1.3	обсужда́ть				discuter	(affaire)						
96	1.4	, руга́ть	(кого-л --			, parler contre	(qn --		LJ				
96	2	пропове́довать		preach		prêcher	(litt.: dire la parole de Dieu)		LJ				
97	0	реше́ние	спо́ра, как пра́вило, тре́тьим лицо́м			, résolution (f)							
98	1	лека́рство		medicine		, remède (m) traditionnel			LJ				
98	2	амуле́т				, fétiche (m)			DJ, LJ				
99	0	пе́рвый		first		premier			DJ, LJ				
100	0	, то́пкий	(о грязи)			, boueux	(trop mouillé, qui contient beaucoup d’eau)						
101	0	лес		forest		forêt (f)			DJ, LJ				
102	0	кирпи́ч				brique (f)				bɤ̄ɯ̂kpɤ̄	böükpö		
103	0	па́смурно	(вот-вот пойдёт дождь)	cloudy		nuageux	(la pluie est prête à tomber)						
104	0	канто́н Блуно́				canton Blouno							
105	0	канто́н Блоссе́				canton Blossé							
106	0	устава́ть		get tired		, exagérer							
107	0	ко́бра без капюшо́на	()	Hoodless Cobra	(species)	cobra (m) sans capuchon	(vert pâle, vit dans les trous, n'apparaît qu'à la saison sèche, longueur: 50 cm - 2 m; pas trop méchant, morsure non-mortelle)						
108	1	сумасше́дший		mad		fou (m)							
108	2	дура́к				, imbéсile (m)							
109	0	моги́ла		grave		tombeau (m)							
110	0	по́рох		(gun)powder		poudre (f) à fusil							
111	1	, сумасше́ствие				folie (f)			LJ, CE				
111	2	глу́пость				, stupidité (f)			GJ				
112	0	кла́дбище		cemetery		cimetière (m)							
113	1	глу́пый		stupid		, stupide			LJ, DJ				
113	2	сумасше́дший		mad					LJ, DJ, OD				
114	0	сава́ннa				brousse (f)							
115	0	, пупо́к		navel		nombril (m)							
116	0	, вы́лезший пуп				, hernie (f) ombilicale							
117	0	, бу́лка		bread		pain (m)							
118	0	мука́		, flour		farine (f)							
119	0	, во мно́жестве				, en grand nombre			DJ, LJ	và	=va		
120	1	, задева́ть к-л		, strike?		, cogner			DJ, LJ				
120	2	, управля́ть	(ло́дкой)			, manœuvrer	(pirogue)		LJ				
120	3	вдыха́ть		inhale		, aspirer			LJ				
120	4	, идти́ наза́д		step back		reculer			LJ				
121	1	сава́нна	нежилое место	wilderness		, étendue (f) sauvage			GJ, SB, LJ				
121	2	охо́та	(соба́ка)	hunting		chasse (f)	(chien)		GJ, LJ	wɯ̄ kʌ̄	wü kë		
121	3	ди́кий		wild		sauvage			DJ, LJ				
122	1	сухо́й сезо́н		dry season		saison (f) sèche							
122	2	за́суха											
123	0	в сава́нне		in the wilderness		en brousse							
124	0	вокру́г				tout autour	(se dit du mouvement)						
125	1	каба́н	(вид)	giant hog		hylochère (m) géant		Hylochoerus meinertzhageni	YA, SE				
125	2	, африка́нский каба́н		common warthog		phacochère (m)		Phacochoerus africanus	YA, SE				
125	3	каба́н		wild boar		, phacochère (m)		Sus scrofa	LJ				
126	0	ди́кий бу́йвол				bœuf (m) sauvage							
127	0	зелёный цвет		green colour		couleur (f) verte				bèêdhɛ́yí	=beedhɛyi		
128	0	зелёный		green		vert				bèêdhɛ́yízʌ̏	=beedhɛyizë		
129	0	дух сава́нны				génie (m) de la brousse							
130	0			crested Guinea-fowl		pintade (f) huppée	(huppe bouclée noire)						
131	0	оса́	(вид, стро́ит домик на сухи́х ве́тках, куса́ется, опа́сная)	hornets		guêpe (f)	(espèce)						
132	6		(дикая)	scaly francolin		francolin écailleux	(pattes d'un rouge orangé)	Francolinus squamatus	LP				
133	0	охо́тник		hunter		chasseur (m)							
135	1	весло́		, paddle		, rame (f)			DJ, LJ				
135	2	, велосипе́д				, vélomoteur (m)			GJ, LJ				
136	0	обы́скивать	(в ч-л --	rummage	(in --	fouiller qch	(dans --						
137	1			in the wilderness		en brousse			LJ				
137	2	ди́кий		wild		sauvage			DJ, LJ				
139	0		род боле́зни но́са, при которой нос отваливается (вроде проказы)			sinusite (f)	(maladie du nez)						
140	1					porc-épic (m) à crête	(grand; fort; dos et courte queue couverts de longs piquants noirs et blancs)	Hystrix sp.	BE, LJ				
