id_ms	type	trans	ortho	\trr	\smr	\tre	\sme	\trf	\smf	\src
8_0	\ex	dhɛ̀ á dhūn, kɤ̄ ā dhó dhȁn bhlɤ̀ɤ̏	=dhɛ 'a nu, kö a 'dho -na =bhlöö-							
15_0	\ex	yà ɤ̄ dhɛ̂n kún sɔ́n áan	=ya ö nɛ- 'kun 'sɔn 'aan							
16_0	\ex	ā dhȕn kɤ̄ ~ bɯ̏ɤ pɤ̄ kā dhʌ̏	a -nu kö 'aan- -büö pö ka -dhë							
20_0	\ex	gɛ̏n àn kwī	-gɛn =an kwi							
22_1	\ex	yà ~	=ya -ba							
22_1	\ex	bhɛ̄n ~ sɯ̏	mɛ -ba -sü							
22_1	\ex	yɤ̏ ~ sɯ̏ ká	-yö -ba -sü 'ka							
22_2	\ex	kwā dhɤ̏ zīan ɤ́ dhō kwā gɔ̏ bhlɤ̀ɤ ȁ bȁ dɛ̀ɛ	kwa -dhö zian 'ö dho kwa -gɔ =bhlöö -a -ba =dɛɛ							
22_2	\ex	yɤ̏ wɯ̄ gblʌ̄ʌ̂n ~ dhȁn	-yö wü gblëën- -ba -na							
23_3	\cbn	gɛ̏n ~	-gɛn 'ba							
24_0	\ex	ȁ bhɛ̄n kʌ̏ wʌ́ɯ̈ wȕn ká, ~, yɤ̏ yȁ dȅ, kɛ́ɛ yáa ɤ̄ zȍ kʌ̄ kɔ̄ɔ bhɛ̏n píɤ	-a mɛ -kë 'wëü- -wun 'ka, 'ba, -yö -ya -de, 'kɛɛ 'yaa ö -zo kë kɔɔ -mɛ 'piö							
24_0	\ex	sɔ̄ yáa n̄ gɔ̏ và, kɛ́ɛ ȁ sȁkpá pɤ́, bá, yɤ̏ dɔ̄ dȅ, ā dhɤ̏ sɔ̄ dhɔ̄ và kwɛ̏ dhɛ̀n ȁ ká	sɔ 'yaa n -gɔ =va, 'kɛɛ -a -sakpa 'pö, 'ba, -yö dɔ -de, a -dhö sɔ dhɔ =va -kwɛ =nɛ -a 'ka							
25_1.2	\idi	kȁ glȕdʌ̄ bhȁ dhūn sɯ̏ dhíɤ bàâ	-ka -gludë -bha nu -sü 'dhiö =baa'-							
25_1.2	\idi	kʌ̄ dhɛ̀n wà yʌ̄n bhɤ̏pʌ̏ bhɤ̏ sɯ̏ bhȁ kɤ̄ kȁ ȁn dhíɤ bàâ	kë =nɛ =wa yën -bhöpë -bhö -sü -bha kö -ka -an 'dhiö							
25_2.1	\ex	n̄ dʌ̄ yà ɤ̄ bàâ kɤ̄ yȁan dhó dhɔ́ɔkúʌ̈dhɤ̄	n dë =ya ö =baa'- kö -yaan 'dho 'dhɔɔkuëdhö							
25_2.2	\cbn	gɔ̏ ~	-gɔ =baa'-							
27_0	\ex	ȁ gɛ̏n yà kʌ̄ ~	-a -gɛn =ya kë 'baaba							
27_0	\idi	bɤ̄ɯ̂ ~	böü- 'baaba							
27_0	\idi	sɤ̄ dhȉ ~	sö -dhi 'baaba							
30_0	\ex	~ yɤ̏ n̄ bhȁn kȕn dùɤ	=baapë -yö n -ma -kun =duö							
31_0	\ex	bhʌ̏n kʌ̏ ɯ́ {ɯ̄ dȅ} dɔ̏ ~ dhɤ́ ē?	-më -kë 'ü ü -de -dɔ 'badhö 'dhö e?							
33_1	\ex	dhā yɤ̏ ~	dha -yö ban							
34_0	\ex	bhɤ̏ dhó ~ píɤ blɤ̀ɤ̏ sá, lʌ̄ŋ̂ yà tó tée	-bhö 'dho 'ban 'piö =blöö- 'sa, lëng- =ya 'to 'tee							
34_0	\idi	~ yī	'ban yi							
35_0	\ex	yà n̄ zɔ̄n lɯ́ ká ~	=ya n zɔn 'lü 'ka 'baudhö							
36_0	\ex	tóo dhɛ̀n ~ yȁ kȕn sʌ̏ ká	'too =nɛ -bɛan -ya -kun -së 'ka							
