lex	Str	vowels
		None
-`		
-\	\	\
-\	\	\
-\	\	\
ȁ	V	a
à	V	a
ā	V	a
á	V	a
á	V	a
á	V	a
ä	V	a
â	V	a
āa	VV	aa
áaàân	VVCVVC	aaaa
áan	VVC	aa
áän	VVC	aa
àbí	VCV	ai
ȁ-bhȁn	VCV	aa
ȁn	VC	a
àn	VC	a
àō	VV	ao
bȁ	CV	a
bá	CV	a
bá	CV	a
bàâ	CVV	aa
báa	CVV	aa
báabȁ	CVVCV	aaa
bàādhèen	CVVCCVV	aaee
báȁn	CVVC	aa
bàāpʌ̏	CVVCV̈	aaë
bádhɤ̄	CVCV̈	aö
bālōn	CVCVC	ao
bān	CVC	a
bán	CVC	a
báudhɤ̄	CVVCV̈	auö
bæ̏æn	CVVC	ɛa
bʌ́	CV̈	ë
bʌ́ʌ̏	CV̈V̈	ëë
bʌ́dhɤ̄	CV̈CV̈	ëö
bʌ̏ŋbʌ̏ŋdhɤ̄	CV̈CCCV̈CCCV̈	ëëö
bʌ̀ŋ̄bʌ̀ŋ̄dhɤ	CV̈CCCV̈CCCV̈	ëëö
bȅ	CV	e
bȅ	CV	e
bèê	CVV	ee
bèê gīŋ	CVV CVCC	ee i
bèê kpá	CVV CCV	ee a
bèêdhɛ́yí	CVVCVCV	eeɛi
bèêdhɛ́yízʌ̏	CVVCVCVCV̈	eeɛië
bèêgā	CVVCV	eea
bèŋ̄bèŋ̄dhɤ	CVCCCVCCCV̈	eeö
bȅzʌ̏	CVCV̈	eë
bɛ̄a	CVV	ɛa
bɛ̏ankȁa	CVVCCVV	ɛaaa
bɛ̏ɛ	CVV	ɛɛ
bɛ̀ɛ̂n	CVVC	ɛɛ
bɛ́i	CVV	ɛi
bɛ̏n	CVC	ɛ
bɛ̏n gbɔ̄	CVC CCV	ɛ ɔ
bȉ	CV	i
bīa	CVV	ia
Bīȁ	BVV	Bia
bìʌn	CVV̈C	ië
bȉbȉdhɤ̄	CVCVCV̈	iiö
bídhɤ̄	CVCV̈	iö
bȉn	CVC	i
bín	CVC	i
bín	CVC	i
bín	CVC	i
bíngātīi	CVCCVCVV	iaii
bìŋ̄bìŋ̄dhɤ	CVCCCVCCCV̈	iiö
bìo	CVV	io
bíɔ	CVV	iɔ
bíɔnbȉɔn	CVVCCVVC	iɔiɔ
bíɔnbȉɔnzʌ̏	CVVCCVVCCV̈	iɔiɔë
bíɔŋbȉɔŋ	CVVCCCVVCC	iɔiɔ
bīɤ	CVV̈	iö
bīɤ lɯ̏	CVV̈ CV̈	iö ü
blȁ	CCV	a
blàā	CCVV	aa
blàāblàā	CCVVCCVV	aaaa
blȁan	CCVVC	aa
blábládhɤ̄	CCVCCVCV̈	aaö
bládhɤ̄	CCVCV̈	aö
blákpɔ́	CCVCCV	aɔ
blʌ́	CCV̈	ë
blʌ̏ʌ	CCV̈V̈	ëë
blʌ̀ʌ̄	CCV̈V̈	ëë
blʌ̀ʌ̂	CCV̈V̈	ëë
blʌ̀ʌ̄dhɛ́	CCV̈V̈CV	ëëɛ
blʌ́dhɛ̏	CCV̈CV	ëɛ
blʌ̀ŋ	CCV̈CC	ë
blʌ́ŋ	CCV̈CC	ë
