id_lex	type	trans	ortho	\ph	\src
6	\al	, ā	, a		
6	\al	, ȁ	, -a		
16	\al	, áâ	, 'aa-		
17	\al	, ȁbí	, -abi		
32	\al	, bālōn kpɤ̄	, balon kpö		
52	\al	, bīa	, bia		
54	\ald	bɛ̏i	-bɛi		DJ, LJ
65	\ald	bìn	=bin (dh) LJ		
86	\al	, blʌ̏ʌyīʌ	, -blëë yië		
86	\al	, blɯ̏ʌ{yīʌ}	, -blüë {yië}		
86	\ald	blʌ̀ʌ	=blëë (dh) MG, LJ		
102	\al	, bríkɤ́	, 'brikö		LJ
103	\al	, bìŋ̄bìŋ̄dhɤ	, =bingbingdhö		LJ
103	\ald	bèŋ̄bèŋ̄dhɤ	=bengbengdhö		
103	\ald	bʌ̀ŋ̄bʌ̀ŋ̄dhɤ	=bëngbëngdhö		
117	\al	, blúû	, 'bluu-		
118	\al	, blùu bȉ	, =bluubi		DJ, LJ
126	\al	, blɯ́ɯdȕ	, 'blüüdu		
128	\al	, blɯ́dhɛzʌ̏	, 'blüdhɛzë		
140	\ald	, blɯ́ɯn	, 'blüün		
140	\al	, blɯ́ŋ	, 'blüng		
150	\al	, bɔ́ŋ	, 'bɔng		
153	\al	, bɔ́nbɔ̏n	, 'bɔnbɔn		
176	\al	, būdhazʌ̏	, budhazë		DJ, LJ
176	\al	, búládhʌ̏	, 'buladhë		
178	\al	, būʌn	, buën		LJ
182	\al	, 'búsɯ	, 'busü		
184	\al	, bhɯ́ʌŋbhɯ̏ʌŋ	, 'bhüëngbhüëng		LJ
194	\ald	, bhā	, bha		
205	\al	, bhʌ́ʌ	, 'bhëë		
214	\al	, bháȁ	, 'bhaa-		LJ
219	\ald	bhàn	=ma (dh)		
235	\al	, bháŋgɤ̏	, 'manggö		LJ
238	\al	, bhȁnwȕn	, -mawun		LJ
246	\al	, bhɒ́ŋ̏			
249	\al	, bhèā	, =bhea'		
257	\al	, bhʌ̏n ɛ̏	, -më -ɛ		
258	\al	, bhán	, 'ma		
265	\al	, bhéȅ	, 'bhee-		LJ
266	\al	, bhéȅzʌ̏	, 'bheezë		
267	\al	, bhȅŋ	, -bheng		
269	\al	, bhɛ́bháan	, 'bhɛmaa		LJ
272	\ald	bhɛ̀iŋ	=mɛing		LJ(wa)
291	\al	, bhīɒɒŋ	, bhiaɔng		
291	\al	, bhìɒŋ gɔ	, =bhiaɔnggɔ		
295	\al	, bhī	, bhi		DJ, RC, LJ
303	\al	, bhīiŋ	, miing		
303	\al	, bhɛ̄ŋ	, mɛng		
306	\al	, bhīingā	, miiga		
311	\al	, bhláa	, 'bhlaa		LJ
321	\al	, bhé	, 'bhe		
331	\ald	bhlɤ́ɤ̂dhɛ̏	'bhlöö- -dhɛ		
331	\ald	bhɯ́ɤ̂dhɛ̏	'bhüödhɛ (dh)		
332	\al	, bhlɤ́ŋbhlɤ̏ŋ	, 'bhlöngbhlöng		
334	\ald	bhɯ́ɤ̂gbȁa	'bhüögbaa (dh)		
342	\al	, bhnlȁabɔ̏	, -mlaabɔ		OD, LJ
348	\al	, bhnlíŋbhlȉ	, 'mlingmli		LJ
349	\al	, bhnlìŋ	, =mling		
350	\al	, bhnlɔ̀ɔ	, =mlɔɔ		
365	\al	, bhùān	, =mua'		
388	\ald	bhɤ̀	=bhö		LJ
392	\al	, bhɤ̀ɯ̄	, =bhöü'		
394	\al	, bhɔ̏adhʌ	, -bhɔadhë		
397	\al	, bhɔ́ʌ̏	, 'bhɔë-		
413	\al	, bhʌ̄ŋ	, mëng		
432	\al	, Dàādhɤn	, =Daandhö		LJ
434	\al	, dàan	, =daan'-		
437	\ald	dáabhō	'daabho		
441	\al	, dànsèi	, =dansei		DJ, LJ
468	\al	, dɛ̀bhnlɔ̄ɔdʌ̄	, =dɛmlɔɔdë		OD, --LJ
472	\al	, dɛ̄ŋ̏	, dɛnng-		
484	\al	, dȉŋ	, -ding		
484	\al	, drȉiŋ	, -driing		
484	\al	, drȉin	, -driin		
490	\al	, dȉn	, -diin		
501	\al	, dōkāsɛ̄n	, dokasɛn		LJ, SB
501	\ald	dō kpāsɛ̄n	do kpasɛn (dh, wo, ka)		
509	\ald	dɔ̀n	=dɔn (dh)		
535	\al	, drȉin	, -driin		
543	\al	, drūʌgā	, druëga		
544	\al	, drùɛi	, =druɛi		LJ
545	\al	, drùɛn	, =druɛn		
545	\ald	, drùææn			
545	\ald	, =druɛadhn			
548	\al	, drɯ̏ɯn	, -drüün		MB, LJ
548	\al	, drɯ̏ŋ	, -drüng		
548	\ald	, drɯ̏n	, -drün		
564	\al	, dȕklɔ̄ɔ̏lɯ̏			
568	\al	, dúŋ	, 'dunng		
572	\al	, dȕɤ	, -duö		
594	\al	, dhásí	, 'dhasi		LJ, GJ
595	\ald	dhākpɤ̀ŋ	dhakpöng [dha =kpöng] (wo)		
611	\al	, dhɔ̏ɔn	, -nɔɔ		
615	\al	, dhʌ̏	, -dhë		
620	\al	, dhʌ́dhēnzʌ̏	, 'nëdhezë		LJ
632	\al	, dhʌ̀ʌn	, =nëë		
633	\al	, dhʌ̀ʌn	, =nëë		
645	\al	, dhéi	, 'dhei		
645	\ald	dhɛ́i	'dhɛi		
661	\al	, dhìī	, =dhii'		
678	\al	, dhȉadhíɤ	, -dhiadhiö		
691	\al	, dhɛ̀ɛn	, =nɛɛ		
694	\al	, dhɛ̀ɛngā	, =nɛɛga		LJ
697	\al	, dhɛ̏gȁyȁan	, -dhɛgayaan		KB, LJ
700	\al	, dhɛ̏kpɒ̏ɒdhíɤ			
709	\al	, dhɛ̏púudhɛ̏	, -dhɛpuudhɛ		LJ
720	\al	, dhèā	, =dhea'		
726	\al	, dhìʌ	, =dhië'-		
728	\al	, dhìʌ̄dhìʌ̄n	, =niënië		OD
730	\al	, dhìʌ̄n	, =nië'		
738	\al	, dhȕu	, -dhuu		
745	\al	, dhȕuzʌ̏	, -dhuuzë		BE, LJ
752	\al	, dhȉɤɤ	, -dhiöö		
773	\al	, dhóŋdho	, 'dhongdho		LJ
782	\ald	dhōoŋdhȕ	dhoong -nu (dh)		
787	\al	, dhɔ̏kʌ̄dhe	, -dhɔkëdhe		LJ
795	\al	, dhɔ̀ū	, =dhɔu'		
804	\al	, dhɔ́ɔkúʌ̏dhɤ̄	, 'dhɔɔkuëdhö		LJ
804	\ald	, dhɔ́ɔkwádhɤ̄	, 'dhɔɔkwadhö		LJ
810	\al	, dhó	, 'dho		
813	\al	, dhóʌ̏	, 'dhoë-		
816	\ald	dhɤ́ɯ̏dhɤɯ	'dhöüdhöü		BE, LJ (dh, ka)
822	\al	, dhúaan dhȕan	, 'nuaa -nua		
822	\al	, dhúadhȕan	, 'nua -nua		
826	\al	, dhūɛnzʌ̏	, nuɛzë		
840	\al	, dhȕutīi	, -dhuutii		LJ, BE, RC
854	\al	, dhán	, 'na		
856	\al	, ē	, e		
856	\al	, ȅ	, -e		
856	\al	, ɛ̀	, =ɛ		
856	\al	, ɛ̏	, -ɛ		
856	\al	, ɛ̄	, ɛ		
857	\al	, ɛ̏	, -ɛ		
857	\al	, ɛ̄	, ɛ		
858	\al	, ɛ̀ɛ	, =ɛɛ		
864	\al	, fàan	, =faan'-		
881	\al	, fíŋ	, 'fing		
881	\al	, fɛ́ŋ	, 'fɛnng		
881	\ald	, fɛ́n	, 'fɛn		
881	\ald	, flɛ́n	, 'flɛn (wo)		
883	\al	, flɛ̏ɛn	, -flɛɛn		
